Product_ID,Department,Product_Category,Price,Cost,Customer_Rating,Quantity_Sold,Inventory_Available,On_Promotion,Purchase_Method,Profit,Remaining_Inventory
H000693,Household,Kitchen Supplies,7.99,5.78,3.2,8,16,No,In-Store,17.68,8
F000694,Food,Beverages,13.79,9.95,4.6,6,11,No,In-Store,23.04,5
F000695,Food,Dairy,2.99,2.29,4.2,2,3,No,In-Store,1.4000000000000004,1
H000696,Household,Kitchen Supplies,6.99,5.24,3.4,6,11,No,In-Store,10.5,5
F000697,Food,Canned Goods,1.99,1.6,4.9,236,292,No,Pickup,92.03999999999998,56
H000698,Household,Paper Products,8.99,6.49,4.3,43,111,No,In-Store,107.5,68
F000699,Food,Meat,3.49,2.67,4.2,10,16,No,In-Store,8.200000000000003,6
H000701,Health & Beauty,Personal Care,25.99,18.5,5.0,7,18,No,Online,52.42999999999999,11
F000702,Food,Produce,6.19,5.39,3.5,16,29,Yes,In-Store,12.800000000000011,13
F000703,Food,Meat,18.21,16.97,4.7,49,64,Yes,In-Store,60.7600000000001,15
F000704,Food,Frozen Foods,12.99,10.38,4.9,21,39,No,Pickup,54.80999999999999,18
H000705,Household,Kitchen Supplies,21.29,15.54,4.2,4,6,No,In-Store,23.0,2
H000706,Household,Home Decor,16.99,12.37,4.7,7,12,No,Online,32.339999999999996,5
H000707,Health & Beauty,Cosmetics,39.99,26.85,5.0,4,10,No,In-Store,52.56,6
H000708,Health & Beauty,Hair Care,29.99,20.65,4.2,6,12,No,Online,56.04,6
F000709,Food,Beverages,11.79,9.76,4.4,25,49,No,Online,50.749999999999986,24
F000710,Food,Canned Goods,2.24,2.05,,51,100,Yes,Pickup,9.690000000000019,49
F000711,Food,Snacks,13.99,11.33,4.9,14,16,No,In-Store,37.24,2
H000712,Health & Beauty,Cosmetics,9.99,7.09,3.3,13,36,No,In-Store,37.7,23
H000713,Health & Beauty,Medications,21.99,15.57,3.1,2,3,No,In-Store,12.839999999999996,1
F000714,Food,Snacks,11.99,8.87,4.1,19,37,No,In-Store,59.280000000000015,18
H000715,Health & Beauty,Medications,18.99,12.41,4.1,18,44,No,In-Store,118.43999999999997,26
H000716,Health & Beauty,Medications,46.99,32.78,3.7,1,3,No,Online,14.21,2
F000717,Food,Snacks,12.99,10.72,3.6,45,58,No,In-Store,102.14999999999998,13
H000718,Household,Cleaning Supplies,15.49,11.5,2.5,19,53,No,In-Store,75.81,34
H000719,Health & Beauty,Hair Care,10.99,7.64,4.1,27,79,No,Online,90.45000000000002,52
F000720,Food,Snacks,11.15,9.75,4.6,16,18,Yes,Pickup,22.400000000000006,2
H000721,Household,Paper Products,15.99,11.14,4.1,10,24,No,In-Store,48.5,14
H000722,Household,Laundry,28.99,21.03,5.0,10,14,No,In-Store,79.59999999999997,4
F000723,Food,Canned Goods,14.99,10.87,3.9,74,112,No,In-Store,304.88000000000005,38
F000724,Food,Bakery,9.99,8.0,4.5,9,16,No,In-Store,17.910000000000004,7
E000725,Electronics/General,Electronics,136.79,92.98,3.2,6,12,No,Online,262.8599999999999,6
F000726,Food,Dairy,13.99,10.62,4.4,7,8,No,Pickup,23.590000000000007,1
F000727,Food,Meat,10.59,7.74,4.4,2,3,No,In-Store,5.699999999999999,1
H000728,Household,Kitchen Supplies,11.49,7.87,4.3,7,16,No,In-Store,25.34,9
H000729,Household,Home Decor,37.99,28.71,4.7,2,3,No,In-Store,18.560000000000002,1
H000730,Household,Laundry,11.99,,3.8,6,9,No,Online,,3
H000731,Health & Beauty,Personal Care,24.99,15.73,2.9,5,16,No,Online,46.29999999999999,11
H000732,Health & Beauty,Medications,15.99,10.37,5.0,23,67,No,Pickup,129.26000000000002,44
F000733,Food,Produce,10.99,9.12,3.8,14,21,No,Pickup,26.180000000000014,7
F000734,Food,Canned Goods,2.99,2.31,5.0,12,17,No,In-Store,8.160000000000002,5
F000735,Food,Frozen Foods,14.79,12.11,5.0,13,16,No,In-Store,34.839999999999996,3
H000736,Health & Beauty,Medications,10.99,7.66,5.0,15,24,No,Online,49.95,9
F000737,Food,Bakery,9.99,7.57,4.3,9,15,No,In-Store,21.78,6
H000738,Health & Beauty,Hair Care,16.99,11.17,5.0,10,24,No,Pickup,58.19999999999999,14
F000739,Food,Canned Goods,13.79,10.58,3.8,48,82,No,Pickup,154.07999999999996,34
F000740,Food,Produce,8.99,6.45,4.3,26,32,No,Online,66.04,6
F000741,Food,Produce,9.79,7.71,4.3,8,9,No,In-Store,16.639999999999993,1
F000742,Food,Frozen Foods,7.99,6.66,4.6,4,5,No,In-Store,5.32,1
F000743,Food,Frozen Foods,12.59,10.19,4.0,30,34,No,Online,72.00000000000001,4
F000744,Food,Produce,2.05,1.83,5.0,37,63,Yes,In-Store,8.13999999999999,26
F000745,Food,Canned Goods,10.99,9.13,3.5,81,101,No,In-Store,150.65999999999997,20
F000746,Food,Bakery,10.79,8.21,4.1,16,22,No,In-Store,41.27999999999997,6
F000747,Food,Bakery,1.48,1.38,4.5,64,84,Yes,In-Store,6.400000000000006,20
F000748,Food,Dairy,11.99,8.7,3.9,4,6,No,In-Store,13.160000000000004,2
F000749,Food,Snacks,1.99,1.54,4.3,18,34,No,In-Store,8.1,16
H000750,Health & Beauty,Personal Care,26.49,16.7,3.1,2,6,No,Online,19.58,4
E000751,Electronics/General,Toys,72.99,50.35,2.9,1,4,No,Online,22.639999999999993,3
H000752,Health & Beauty,Cosmetics,10.78,9.96,4.0,5,16,Yes,Online,4.0999999999999925,11
F000753,Food,Dairy,5.99,4.6,4.6,18,23,No,Online,25.02000000000001,5
H000754,Household,Home Decor,33.99,23.82,5.0,8,10,No,Online,81.36000000000001,2
F000755,Food,Meat,12.99,9.74,4.4,21,28,No,In-Store,68.25,7
F000756,Food,Snacks,2.99,2.48,4.0,38,65,No,Pickup,19.38000000000001,27
F000757,Food,Frozen Foods,11.49,9.33,5.0,10,15,No,In-Store,21.6,5
E000758,Electronics/General,Seasonal,67.99,46.55,4.7,1,4,No,Online,21.439999999999998,3
H000759,Household,Cleaning Supplies,3.99,2.69,4.8,26,71,No,Pickup,33.800000000000004,45
E000760,Electronics/General,Office Supplies,47.99,35.42,2.7,2,9,No,In-Store,25.14,7
F000761,Food,Meat,22.29,17.88,4.4,11,14,No,Pickup,48.510000000000005,3
H000762,Household,Home Decor,30.99,22.78,4.5,12,24,No,Online,98.51999999999997,12
H000763,Household,Laundry,5.99,4.32,3.1,32,71,No,In-Store,53.44,39
H000764,Household,Paper Products,8.79,6.15,4.1,26,62,No,In-Store,68.63999999999997,36
F000766,Food,Frozen Foods,12.99,9.68,4.9,43,81,No,Pickup,142.33,38
F000767,Food,Produce,5.99,4.65,3.8,42,67,No,In-Store,56.279999999999994,25
F000768,Food,Frozen Foods,10.99,8.54,4.7,67,75,No,In-Store,164.15000000000006,8
H000769,Household,Cleaning Supplies,3.99,2.74,4.9,15,43,No,Pickup,18.75,28
H000770,Household,Kitchen Supplies,20.99,14.34,3.2,15,33,No,In-Store,99.74999999999997,18
H000771,Household,Paper Products,18.99,13.82,4.1,10,28,No,In-Store,51.69999999999998,18
F000772,Food,Beverages,11.15,9.92,3.9,12,17,Yes,In-Store,14.760000000000005,5
F000773,Food,Produce,3.99,3.15,3.5,14,15,No,Pickup,11.760000000000005,1
F000774,Food,Bakery,4.11,3.74,4.6,150,280,Yes,In-Store,55.500000000000014,130
H000775,Household,Home Decor,18.99,13.48,3.7,11,30,No,Pickup,60.60999999999998,19
F000776,Food,Canned Goods,2.99,2.36,3.4,13,19,No,In-Store,8.190000000000005,6
H000777,Health & Beauty,Medications,33.99,23.02,3.6,8,17,No,In-Store,87.76000000000002,9
F000778,Food,Dairy,6.99,5.16,4.2,30,54,No,In-Store,54.900000000000006,24
F000779,Food,Beverages,8.83,8.17,4.7,50,73,Yes,Online,33.00000000000001,23
H000780,Health & Beauty,Hair Care,11.99,7.97,3.9,17,38,No,In-Store,68.34,21
F000781,Food,Beverages,6.99,5.16,3.7,22,36,No,In-Store,40.260000000000005,14
H000782,Household,Paper Products,22.99,16.94,4.5,5,14,No,In-Store,30.249999999999986,9
F000783,Food,Frozen Foods,2.49,1.8,4.6,42,62,No,Pickup,28.980000000000008,20
H000784,Health & Beauty,Cosmetics,15.99,10.95,4.8,5,11,No,In-Store,25.200000000000003,6
H000785,Household,Paper Products,6.99,4.71,3.2,47,83,No,Pickup,107.16000000000001,36
H000786,Household,Paper Products,14.49,9.83,4.0,7,14,No,In-Store,32.620000000000005,7
H000787,Household,Cleaning Supplies,10.99,8.4,4.5,15,35,No,In-Store,38.849999999999994,20
H000788,Household,Cleaning Supplies,17.05,16.2,4.6,47,134,Yes,Online,39.95000000000007,87
H000789,Household,Paper Products,15.49,10.91,3.4,11,16,No,In-Store,50.38,5
F000790,Food,Canned Goods,1.34,1.19,4.5,25,47,Yes,In-Store,3.7500000000000036,22
H000791,Household,Cleaning Supplies,13.93,13.01,3.7,21,46,Yes,Online,19.32,25
F000792,Food,Produce,7.99,6.37,4.4,7,10,No,In-Store,11.34,3
H000793,Household,Kitchen Supplies,8.99,6.58,3.9,18,50,No,In-Store,43.38,32
F000794,Food,Frozen Foods,1.99,1.54,4.7,48,72,No,In-Store,21.599999999999998,24
E000795,Electronics/General,Office Supplies,69.79,49.58,4.7,1,4,No,Online,20.210000000000008,3
F000796,Food,Dairy,11.99,9.2,4.0,5,8,No,In-Store,13.950000000000005,3
F000797,Food,Bakery,6.99,5.55,5.0,51,73,No,In-Store,73.44000000000003,22
F000798,Food,Dairy,6.29,4.78,4.4,10,18,No,In-Store,15.099999999999998,8
E000799,Electronics/General,Seasonal,6.29,4.48,4.4,8,36,No,Online,14.479999999999997,28
F000800,Food,Snacks,10.99,8.18,4.5,72,120,No,Online,202.32000000000005,48
F000801,Food,Beverages,9.99,7.49,4.3,1,2,No,In-Store,2.5,1
H000802,Health & Beauty,Medications,6.59,4.24,4.5,9,16,No,Pickup,21.15,7
H000803,Household,Laundry,15.29,10.78,4.1,4,11,No,Online,18.04,7
H000804,Household,Cleaning Supplies,10.59,8.07,3.7,18,48,No,In-Store,45.35999999999999,30
H000805,Household,Home Decor,6.99,5.09,4.4,7,11,No,Pickup,13.300000000000002,4
F000806,Food,Frozen Foods,12.99,9.78,4.3,27,35,No,In-Store,86.67000000000002,8
H000807,Health & Beauty,Cosmetics,3.49,2.21,4.5,44,156,No,In-Store,56.32000000000001,112
F000808,Food,Beverages,11.49,9.45,4.6,20,39,No,In-Store,40.80000000000002,19
H000809,Household,Laundry,18.59,13.21,4.3,7,15,No,Online,37.66,8
E000810,Electronics/General,Toys,46.29,33.26,4.6,1,2,No,Online,13.030000000000001,1
H000811,Household,Cleaning Supplies,17.33,15.63,3.8,36,50,Yes,Pickup,61.19999999999991,14
E000814,Electronics/General,Electronics,208.29,149.87,,1,2,No,In-Store,58.41999999999999,1
F000815,Food,Frozen Foods,6.99,5.56,3.7,42,67,No,In-Store,60.060000000000024,25
H000816,Household,Paper Products,4.99,3.55,4.7,15,23,No,Pickup,21.600000000000005,8
F000817,Food,Bakery,11.29,9.0,3.8,25,39,No,In-Store,57.24999999999998,14
E000818,Electronics/General,Toys,64.99,44.19,4.1,1,4,No,In-Store,20.799999999999997,3
H000819,Household,Paper Products,12.99,9.57,5.0,23,32,No,In-Store,78.66,9
F000820,Food,Bakery,1.99,1.44,4.7,18,28,No,In-Store,9.9,10
F000821,Food,Snacks,1.99,1.63,3.8,245,450,No,In-Store,88.20000000000002,205
H000822,Household,Paper Products,5.99,4.14,2.9,13,25,No,Pickup,24.050000000000008,12
F000823,Food,Beverages,9.79,7.19,3.5,13,19,No,In-Store,33.79999999999998,6
H000824,Household,Kitchen Supplies,7.99,5.62,5.0,24,49,No,Online,56.88,25
F000825,Food,Canned Goods,8.79,6.4,4.1,5,8,No,Pickup,11.949999999999994,3
F000826,Food,Canned Goods,7.79,5.9,3.8,40,67,No,In-Store,75.6,27
F000827,Food,Bakery,7.99,6.12,4.3,8,13,No,Pickup,14.96,5
F000828,Food,Produce,3.99,2.93,4.3,68,96,No,In-Store,72.08,28
F000829,Food,Produce,10.99,8.73,4.3,10,14,No,In-Store,22.599999999999998,4
H000830,Household,Cleaning Supplies,16.49,12.2,4.6,6,12,No,Pickup,25.739999999999995,6
H000831,Household,Cleaning Supplies,14.59,10.77,4.5,20,57,No,In-Store,76.4,37
F000832,Food,Canned Goods,12.99,9.81,4.2,4,6,No,In-Store,12.719999999999999,2
F000833,Food,Beverages,1.99,1.65,4.7,27,40,No,Online,9.180000000000001,13
F000835,Food,Frozen Foods,2.99,2.47,4.9,74,102,No,In-Store,38.480000000000004,28
F000836,Food,Frozen Foods,11.99,9.7,4.0,34,63,No,Pickup,77.86000000000003,29
F000837,Food,Dairy,10.99,8.89,4.4,7,12,No,In-Store,14.699999999999998,5
F000838,Food,Dairy,2.99,2.49,3.8,15,20,No,In-Store,7.5,5
H000839,Health & Beauty,Medications,14.99,10.62,4.2,4,7,No,In-Store,17.480000000000004,3
F000840,Food,Beverages,3.99,3.18,4.0,29,33,No,Pickup,23.490000000000002,4
F000841,Food,Frozen Foods,12.99,10.1,3.3,5,6,No,In-Store,14.450000000000003,1
E000842,Electronics/General,Seasonal,40.99,30.36,2.9,4,11,No,Pickup,42.52000000000001,7
F000843,Food,Canned Goods,9.99,7.92,4.8,10,18,No,Pickup,20.700000000000003,8
F000844,Food,Dairy,10.99,8.59,4.4,51,95,No,In-Store,122.40000000000002,44
H000846,Household,Kitchen Supplies,23.99,17.91,3.7,9,25,No,Pickup,54.719999999999985,16
F000847,Food,Meat,12.49,10.23,3.4,15,26,No,In-Store,33.9,11
F000848,Food,Bakery,2.79,2.06,3.7,17,29,No,Pickup,12.41,12
H000849,Health & Beauty,Medications,14.99,9.8,4.3,5,13,No,Online,25.949999999999996,8
F000850,Food,Dairy,11.99,9.64,4.2,13,19,No,In-Store,30.549999999999997,6
H000851,Household,Cleaning Supplies,17.28,15.98,3.9,26,63,Yes,In-Store,33.80000000000002,37
F000852,Food,Snacks,14.99,12.05,4.6,12,14,No,In-Store,35.279999999999994,2
F000853,Food,Dairy,8.99,6.98,3.8,7,12,No,In-Store,14.069999999999999,5
E000854,Electronics/General,Seasonal,103.99,73.24,4.5,1,4,No,Online,30.75,3
H000855,Household,Home Decor,20.99,15.31,3.9,10,13,No,In-Store,56.79999999999998,3
H000857,Health & Beauty,Hair Care,10.99,7.01,4.2,6,18,No,In-Store,23.880000000000003,12
F000858,Food,Dairy,15.99,13.14,5.0,8,9,No,Online,22.799999999999997,1
H000859,Household,Paper Products,21.99,15.76,3.3,5,11,No,In-Store,31.14999999999999,6
H000860,Health & Beauty,Hair Care,14.99,9.7,3.5,4,13,No,In-Store,21.160000000000004,9
F000861,Food,Produce,5.49,4.26,4.7,25,28,No,In-Store,30.75000000000001,3
F000862,Food,Canned Goods,2.99,2.41,4.8,308,602,No,In-Store,178.64000000000001,294
H000863,Health & Beauty,Medications,25.59,16.58,3.6,10,20,No,In-Store,90.10000000000002,10
F000864,Food,Produce,3.99,3.24,3.5,37,46,No,In-Store,27.75,9
H000865,Household,Kitchen Supplies,10.79,7.38,4.1,18,43,No,In-Store,61.37999999999999,25
H000866,Household,Cleaning Supplies,5.99,4.23,3.7,15,26,No,Online,26.4,11
F000867,Food,Snacks,9.79,8.04,4.2,16,21,No,In-Store,28.0,5
H000868,Household,Cleaning Supplies,21.99,16.14,3.7,2,5,No,In-Store,11.699999999999996,3
F000870,Food,Beverages,12.99,9.56,3.8,24,39,No,In-Store,82.32,15
F000871,Food,Canned Goods,10.99,9.0,4.2,65,78,No,Online,129.35000000000002,13
F000872,Food,Dairy,2.49,1.87,5.0,40,56,No,In-Store,24.800000000000004,16
H000873,Household,Cleaning Supplies,5.49,3.72,4.7,12,28,No,In-Store,21.240000000000002,16
H000875,Health & Beauty,Cosmetics,23.99,16.5,4.3,21,80,No,In-Store,157.28999999999996,59
F000876,Food,Bakery,5.99,7.08,5.0,5,6,Yes,In-Store,-5.449999999999999,1
F000877,Food,Dairy,1.99,1.44,3.9,54,106,No,Online,29.700000000000003,52
F000878,Food,Produce,6.24,5.52,4.0,103,122,Yes,In-Store,74.16000000000007,19
H000880,Health & Beauty,Hair Care,21.99,14.02,3.5,1,3,No,Pickup,7.969999999999999,2
H000882,Health & Beauty,Medications,45.99,32.04,3.8,4,6,No,In-Store,55.80000000000001,2
F000883,Food,Frozen Foods,8.79,6.42,4.9,43,80,No,In-Store,101.90999999999997,37
H000884,Health & Beauty,Cosmetics,32.99,21.09,4.0,13,26,No,Pickup,154.70000000000002,13
F000885,Food,Bakery,9.99,7.77,3.6,11,20,No,Pickup,24.42000000000001,9
F000886,Food,Meat,10.08,9.39,4.6,16,24,Yes,In-Store,11.039999999999992,8
F000887,Food,Bakery,8.49,7.01,3.3,14,17,No,In-Store,20.720000000000006,3
E000888,Electronics/General,Seasonal,47.79,33.07,4.1,1,4,No,Online,14.719999999999999,3
F000889,Food,Snacks,7.99,6.57,4.4,6,9,No,In-Store,8.52,3
F000890,Food,Dairy,15.49,12.08,4.4,9,11,No,In-Store,30.69,2
F000891,Food,Bakery,7.99,6.38,4.3,20,24,No,In-Store,32.2,4
F000892,Food,Snacks,10.99,9.04,3.4,28,48,No,Pickup,54.60000000000003,20
F000893,Food,Beverages,7.26,6.45,5.0,102,141,Yes,In-Store,82.61999999999996,39
H000894,Household,Home Decor,16.07,14.45,3.9,30,71,Yes,Online,48.60000000000003,41
F000895,Food,Meat,13.99,10.54,3.8,15,19,No,In-Store,51.750000000000014,4
F000896,Food,Beverages,14.99,11.74,4.1,4,6,No,Online,13.0,2
H000897,Household,Paper Products,22.99,15.88,2.8,5,11,No,In-Store,35.54999999999999,6
F000898,Food,Dairy,10.99,8.17,3.4,14,27,No,Pickup,39.480000000000004,13
F000899,Food,Snacks,5.99,4.58,4.4,6,11,No,In-Store,8.46,5
F000901,Food,Bakery,8.99,6.54,4.9,20,24,No,In-Store,49.0,4
F000902,Food,Bakery,4.99,4.05,4.1,26,31,No,In-Store,24.440000000000012,5
H000903,Health & Beauty,Personal Care,6.99,4.55,4.8,10,28,No,Pickup,24.400000000000006,18
F000904,Food,Bakery,9.79,7.15,4.4,8,15,No,In-Store,21.11999999999999,7
F000905,Food,Snacks,2.99,2.33,3.5,31,50,No,In-Store,20.460000000000004,19
H000906,Household,Cleaning Supplies,12.99,9.62,4.7,5,14,No,Online,16.850000000000005,9
H000908,Household,Cleaning Supplies,22.99,16.16,4.7,3,4,No,In-Store,20.489999999999995,1
F000909,Food,Produce,7.74,7.34,4.3,20,24,Yes,In-Store,8.000000000000007,4
F000910,Food,Produce,10.99,9.1,3.3,13,16,No,In-Store,24.570000000000007,3
F000913,Food,Canned Goods,1.99,1.55,3.3,201,269,No,Online,88.43999999999998,68
F000914,Food,Beverages,9.79,8.04,4.8,31,42,No,In-Store,54.25,11
H000915,Household,Laundry,24.51,22.67,4.2,4,6,Yes,In-Store,7.359999999999999,2
H000917,Household,Home Decor,6.99,5.23,4.0,13,21,No,In-Store,22.879999999999995,8
F000918,Food,Frozen Foods,3.59,2.87,3.3,134,250,No,In-Store,96.47999999999996,116
F000919,Food,Bakery,11.99,9.34,4.2,13,18,No,Online,34.45,5
F000920,Food,Beverages,11.62,10.84,4.1,228,369,Yes,In-Store,177.83999999999986,141
F000921,Food,Meat,2.03,2.26,5.0,80,99,Yes,In-Store,-18.4,19
F000922,Food,Frozen Foods,12.41,11.15,3.8,46,80,Yes,In-Store,57.959999999999994,34
H000923,Household,Home Decor,7.99,5.35,4.0,29,38,No,Online,76.56000000000002,9
F000924,Food,Produce,3.12,2.88,4.5,152,271,Yes,In-Store,36.48000000000003,119
F000925,Food,Dairy,10.99,8.75,3.9,10,13,No,In-Store,22.400000000000002,3
F000926,Food,Dairy,16.99,13.74,4.2,11,19,No,Pickup,35.74999999999998,8
H000927,Health & Beauty,Hair Care,3.99,2.62,2.3,15,31,No,In-Store,20.55,16
H000928,Health & Beauty,Hair Care,14.99,9.8,4.2,7,21,No,In-Store,36.33,14
H000929,Household,Paper Products,14.99,10.4,4.6,5,13,No,Pickup,22.95,8
F000930,Food,Snacks,12.99,10.12,3.8,14,21,No,In-Store,40.180000000000014,7
F000931,Food,Snacks,10.6,9.57,4.9,55,69,Yes,In-Store,56.64999999999996,14
H000932,Health & Beauty,Personal Care,20.29,13.47,5.0,1,2,No,Online,6.8199999999999985,1
F000933,Food,Snacks,1.99,1.49,3.5,10,16,No,Online,5.0,6
H000934,Health & Beauty,Hair Care,23.99,16.05,3.5,10,23,No,In-Store,79.39999999999998,13
F000935,Food,Snacks,8.99,7.1,4.0,23,43,No,Pickup,43.47000000000001,20
F000936,Food,Produce,4.79,3.86,4.7,59,76,No,In-Store,54.87000000000001,17
H000937,Household,Cleaning Supplies,10.99,8.39,3.0,3,6,No,Online,7.799999999999999,3
H000938,Health & Beauty,Hair Care,18.81,16.67,4.2,101,317,Yes,In-Store,216.1399999999997,216
F000939,Food,Canned Goods,7.99,5.74,3.9,32,53,No,In-Store,72.0,21
F000940,Food,Frozen Foods,10.99,8.02,4.2,7,11,No,In-Store,20.790000000000006,4
H000941,Health & Beauty,Personal Care,18.56,17.39,3.9,22,84,Yes,In-Store,25.73999999999996,62
H000943,Household,Home Decor,13.13,11.6,3.1,17,50,Yes,Online,26.01000000000002,33
E000944,Electronics/General,Electronics,63.99,44.42,2.7,2,7,No,In-Store,39.14,5
F000946,Food,Bakery,10.49,8.05,4.6,2,3,No,In-Store,4.879999999999999,1
H000947,Household,Kitchen Supplies,16.29,11.21,3.6,4,10,No,Online,20.319999999999993,6
F000948,Food,Frozen Foods,8.95,8.36,4.5,10,13,Yes,Online,5.899999999999999,3
F000949,Food,Frozen Foods,11.99,9.52,4.3,19,29,No,In-Store,46.930000000000014,10
H000950,Household,Laundry,17.99,12.21,4.0,12,21,No,Online,69.35999999999997,9
H000951,Health & Beauty,Hair Care,14.99,10.63,4.2,12,45,No,Pickup,52.31999999999999,33
H000952,Health & Beauty,Cosmetics,41.99,27.37,4.7,2,4,No,In-Store,29.240000000000002,2
F000953,Food,Meat,13.24,12.18,4.6,10,14,Yes,Pickup,10.600000000000005,4
H000954,Household,Cleaning Supplies,6.58,5.91,3.5,27,40,Yes,In-Store,18.089999999999996,13
H000955,Household,Cleaning Supplies,9.99,7.44,4.0,13,23,No,Online,33.15,10
H000956,Household,Laundry,6.99,4.99,3.9,6,11,No,Online,12.0,5
F000957,Food,Bakery,2.59,1.97,3.4,19,22,No,Pickup,11.779999999999998,3
F000958,Food,Frozen Foods,1.27,1.45,3.7,178,207,Yes,In-Store,-32.03999999999999,29
F000959,Food,Meat,16.99,13.41,3.6,18,25,No,In-Store,64.43999999999997,7
H000960,Health & Beauty,Hair Care,27.99,19.1,4.4,13,33,No,In-Store,115.56999999999996,20
F000961,Food,Bakery,6.99,5.47,3.8,25,42,No,In-Store,38.000000000000014,17
H000962,Health & Beauty,Medications,17.99,11.46,4.7,12,46,No,In-Store,78.35999999999997,34
F000963,Food,Bakery,9.99,7.14,4.4,20,32,No,Pickup,57.000000000000014,12
F000964,Food,Produce,6.99,5.8,4.3,36,58,No,Pickup,42.84000000000002,22
F000965,Food,Dairy,11.99,9.35,4.1,26,49,No,In-Store,68.64000000000001,23
H000966,Health & Beauty,Hair Care,5.99,3.94,3.5,65,246,No,Online,133.25000000000003,181
H000967,Health & Beauty,Cosmetics,18.99,13.23,5.0,5,9,No,Pickup,28.79999999999999,4
E000968,Electronics/General,Electronics,54.99,37.28,2.9,1,2,No,Online,17.71,1
F000969,Food,Produce,0.99,0.74,4.5,31,49,No,In-Store,7.75,18
F000970,Food,Dairy,9.99,7.14,4.9,20,31,No,In-Store,57.000000000000014,11
F000971,Food,Dairy,17.99,14.69,4.4,20,23,No,Pickup,65.99999999999997,3
H000972,Health & Beauty,Hair Care,10.99,7.85,4.6,1,2,No,In-Store,3.1400000000000006,1
H000973,Household,Laundry,12.99,9.74,4.9,13,26,No,Pickup,42.25,13
H000974,Health & Beauty,Hair Care,21.79,14.06,4.4,8,21,No,In-Store,61.83999999999999,13
E000975,Electronics/General,Office Supplies,30.49,21.36,4.0,1,2,No,In-Store,9.129999999999999,1
H000976,Household,Kitchen Supplies,11.29,10.1,3.0,24,31,Yes,In-Store,28.559999999999988,7
H000977,Health & Beauty,Personal Care,25.79,17.05,3.4,3,6,No,Online,26.219999999999995,3
F000978,Food,Beverages,5.99,4.37,4.8,16,25,No,In-Store,25.92,9
H000980,Health & Beauty,Medications,24.99,17.79,5.0,3,6,No,In-Store,21.599999999999998,3
F000981,Food,Dairy,1.79,1.42,4.1,31,47,No,In-Store,11.470000000000002,16
F000982,Food,Snacks,7.99,5.86,4.3,20,22,No,In-Store,42.599999999999994,2
F000983,Food,Meat,6.99,5.76,3.5,31,48,No,In-Store,38.13000000000001,17
H000984,Health & Beauty,Cosmetics,7.99,5.16,3.1,11,23,No,In-Store,31.130000000000003,12
H000985,Household,Home Decor,10.59,7.84,3.6,6,16,No,In-Store,16.5,10
H000987,Household,Paper Products,16.99,12.77,4.7,16,30,No,Pickup,67.51999999999998,14
H000988,Health & Beauty,Medications,23.99,16.08,5.0,11,38,No,In-Store,87.01,27
H000989,Household,Kitchen Supplies,10.49,7.5,4.4,10,15,No,Pickup,29.900000000000002,5
F000990,Food,Produce,9.39,8.53,3.9,49,77,Yes,Pickup,42.14000000000006,28
F000991,Food,Bakery,4.99,3.65,4.2,7,9,No,In-Store,9.380000000000003,2
F000992,Food,Frozen Foods,10.99,7.85,3.9,29,32,No,In-Store,91.06000000000002,3
H000993,Household,Kitchen Supplies,13.11,11.85,2.7,61,92,Yes,In-Store,76.85999999999999,31
F000994,Food,Snacks,5.57,5.14,4.4,311,413,Yes,In-Store,133.7300000000002,102
H000995,Household,Cleaning Supplies,3.99,2.95,4.2,74,138,No,In-Store,76.96000000000001,64
F000996,Food,Produce,9.99,7.18,5.0,15,24,No,In-Store,42.150000000000006,9
E000997,Electronics/General,Office Supplies,8.99,6.06,3.9,4,14,No,Pickup,11.720000000000002,10
F000998,Food,Produce,2.75,3.19,3.6,69,124,Yes,Online,-30.359999999999996,55
H000999,Household,Paper Products,20.99,14.99,4.0,11,28,No,In-Store,65.99999999999999,17
H001000,Household,Paper Products,5.99,4.48,4.0,27,77,No,In-Store,40.769999999999996,50
H001001,Health & Beauty,Personal Care,12.99,9.16,4.4,8,23,No,Pickup,30.64,15
E001002,Electronics/General,Seasonal,120.99,82.05,3.0,1,3,No,Online,38.94,2
H001003,Health & Beauty,Medications,17.49,11.66,3.7,75,282,No,Pickup,437.2499999999999,207
F001005,Food,Frozen Foods,8.99,6.65,4.0,4,5,No,In-Store,9.36,1
H001006,Household,Paper Products,4.99,3.58,4.3,18,51,No,In-Store,25.380000000000003,33
H001007,Household,Paper Products,6.99,4.69,3.8,5,8,No,In-Store,11.5,3
H001008,Household,Cleaning Supplies,15.99,10.96,3.7,1,2,No,In-Store,5.029999999999999,1
F001009,Food,Canned Goods,7.99,6.2,4.0,14,27,No,Online,25.060000000000002,13
F001010,Food,Produce,8.99,6.76,4.9,12,21,No,In-Store,26.760000000000005,9
H001011,Household,Laundry,22.9,20.96,3.5,73,183,Yes,Online,141.61999999999983,110
H001012,Household,Paper Products,15.99,12.2,3.4,15,31,No,In-Store,56.850000000000016,16
H001013,Household,Laundry,27.99,21.32,4.1,2,3,No,Online,13.339999999999996,1
H001014,Household,Cleaning Supplies,7.99,5.56,3.4,10,15,No,In-Store,24.300000000000004,5
F001015,Food,Beverages,1.29,0.98,3.6,49,60,No,In-Store,15.190000000000003,11
H001016,Household,Kitchen Supplies,17.99,12.62,4.7,25,66,No,Online,134.24999999999997,41
